language,family,genus,pop,I,you,we,one,two,person,fish,dog,louse,tree,leaf,skin,blood,bone,horn,ear,eye,nose,tooth,tongue,knee,hand,breast,liver,drink,see,hear,die,come,sun,star,water,stone,fire,path,mountain,night,full,new,name
BEJA,AA,BEJA,1237000,anu,bErok,hanEn,Na,malob,tEk,aSab,oyas,tat,inib,lat,adeb,boy,mitat,dab-daXab,angil,lElit,gunuf,kirEt,midalab,0,ayEb,tutEb,tonkola7,goyE7,riyah,masu,iya7,E7a,yin,hayuk,yam,aweb,ne7et,sikab,rEbab,hawad,0,gEyib,sim
BEJA_2,AA,BEJA,1237000,ani,baruk-batuk,hanin,gar-gal,malo,ha,asa-ase,yas,tat,Sedar,baya,ada,boy,mi,da7,angwil,lili,genut,kos,midala-mida,gun-ma,ay,nug-nugwe,se,gu7,erh,masuw,yati,yit-i,yin-in,hayuk,yam,awe,n7a,lagi,reba,hawad,atab,ga,sim-sum
AYT_SEGHROUCHEN,AA,BERBER,2490000,0,0,0,idZ-ij,snat,bnadm,aslm,aidi,0,sZrt,0,aXidur,idamn,is,iS,amzuX,tit,tinzar,timst,ils,fud,fus,if,tsa,sw,zr,sl,mt,rad,tafuit,itri,aman,azru,timsi,abrid,lXari,Xyid,0,0,ism
AWJILAH,AA,BERBER,2000,n3k,ku,n3k3ni,iwinan,0,ar3gaz,0,gzin,tw3likt,0,t3l3biSt,glim,dimmen,axast,iSk,is3m,tit,tk3nzirt,asin,il3s,afud,afus,0,tisi,Su,ag3l,3s3l,mut,uS,tafut,0,imin,az3rg,awif,t3barut,0,ab3t,3tk3r,atrar,0
BENI_SNOUS_WESTERN_ALGERIAN_BERBER,AA,BERBER,1470000,N3C,S3k,n3Cnin,ij3n,8nay3n,0,asl3m,ay8i,8iSi8,s3Z3r8,lw3rq,il3m,i8am3n,iy3s,iS,8imj3t,8it7,8inz3r8,tixm3st,il3s,fud,fus,if3f,tsa,su,z73r,s3l,3m38,as3d,8fuy8,i8ri,aman,8awqi8,8imsi,abri8,a8rar,id7,Car,l3Zdi8,lis3m
FIGUIG,AA,BERBER,2490000,n3C,S3k,n3Sni,ij3n,s3n,bnad3m,asl3m,aydi,til3yt,0,lw3rq,il3m,idam3n,ix3s,aq3llux,tit,0,funz3r,tixm3s,il3s,fud,fus,bupu,tsa,s3w,mat3r,s3l,m3t,as,tfuyt,itri,aman,qabu,l7af3yt,abrid,asdrar,id,3mer,aZdid,t3sm3y3t
FOQAHA,AA,BERBER,-2016,n3ki,S3ki,n3keni,ig3n,s3n,0,0,edi,tirSit,0,t3frit,il3m,idam3n,ix3s,3lqurn,tm3zuxt,tit,tinz3rt,isin,il3s,afud,afus,0,tasan,asu,az3r,as3l,3m3t,us,tafukt,iri,aman,txaxit,temsi,tabarut,0,ayad,kar,trar,0
GHADAMES,AA,BERBER,12000,naS,Sag,nakanen,yon,s3n,iman,0,ede,tal3kt,tamdikt,t3fra,el3m,daman,xas,aSkaw,es3m,awal,t3nzart,asen,el3s,of3d,of3s,admar,tosa,asw,all3m,asl,amm3t,as,ese,iri,aman,er3j,ofa,abrid,adurar,ebad,3tkur,0,ism
GHADAMES_2,AA,BERBER,12000,neS,Seg,nekenin,yun,s3n,iman,ulisma,idi,tal3kt,temdikt,t3fra,il3m,demen,x3s,aSkaw,is3m,aw3l,t3nzart,asin,il3s,uf3d,uf3s,admaren,tusa,s3w,el3m-izelem,3sl,3m3t,as,isi,iri,aman,ir3g,ufa,abrid,adurar,ibed,etkur,0,ism
GHOMARA,AA,BERBER,10000,n3k,k3j,nucna,yan,zuZ,insan,amal3h,ayda,0,tagig3t,afraw,lZ3ld,a83m,ax3s,as3kaw,am3zux,tit,tax3nfurt,asan,il3s,afud,0,sd3r,l3fwad,su,zar,s3l,mu8,du,tafuct,n3Zma,aman,azru,l7afya,azr3f,adrar,lil,kar,Zdid,ism
JEBEL_NEFUSA,AA,BERBER,234000,0,0,0,ujun,sen,0,taXotit,yudi,0,0,0,uglim,idmn,ixas,aSaw,tmejit,tit,tinzert,sin,iles,0,ufes,bibiS,tusa,Esu,eSbaX,esel,emet,ased,tufut,tri,amEn,txoxot,tfawt,brid,drar,it,0,0,is3m
KABYLE,AA,BERBER,5586000,n3k,k3C,n3kni,yiw3n,sin,bnadem,asl3m,aydi,tilkit,0,if3r,aglim,idam3n,ix3s,iS,am3zux,tit,anzar3n,tuxm3st,il3s,ag3Srir,afus,idmar3n,tasa,s3w,wali,s3l,3m3t,as,itiZ,itri,aman,adxax,tim3s,abrid,adrar,id,aCaran,0,is3m
KABYLE_GREATER_KABYLIA_AT_MANGELLAT,AA,BERBER,5586000,n3k,c3C,n3kni,yiw3n,sin,lx3lq,asl3m-lhu8,ay8i,8ilkit,t3Zr7a,if3r,ajlim,i8am3n,ix3s,iS3w,am3z7ux,8it7,8inz3r8,8uxm3s8,il3s,afu8,0,8abbuS8,8asa,s3w,z73r-wali,s3l,m38,as,it7iZ,i8ri,aman,az7ru,8im3s,abri8,a8rar,i87,Car7,aZ8i8,is3m
NAFUSI,AA,BERBER,234000,n3C,S3k,n3C3n,ujun,s3n,bnad3m,3lhut,yudi,tilSit,l3sZar,3lw3rq,uglim,id3m3n,x3s,aSaw,tm3jit,tit,tinz3rt,sin,il3s,uf3d,uf3s,0,tusa,3su,3Sb3h,3s3l,3m3t,as,tufut,tri,aman,dxax,twaft,brid,drar,it,3Car,aZdid,l3s3m
OUARGLA_BERBER,AA,BERBER,20000,n3SS,S3kk,n3Snin,igg3n,s3n,takrumt,lXut,aydi,tillit,SS3Z3rt,tifrit,aglim,idamm3n,iX3s,aSSaw,tam3ZZit,tit7t7,tinz3rt,tiXm3st,il3s,fud,fus,iff,ca,s3w,z73r,s3ll,mm3t,as,tfit,itri,aman,adXaX,timsi,abrid,ag3rgub,id7,SSar7,aZdid,is3m
SENHAJA_DE_SRAIR,AA,BERBER,50000,n3k,k3j,nukni,iw3n,ZuZ,b3na83m,asl3m,ahar8an,8iSi8,s3Zra,afar,Z3ld,3d3m,ix3s,isk,am3zux,8i7,8inzar8,aqaruS,ils,afu8,afus,abiS,8asa,su,zar,s3l,3m38,as,8afuT8,i8ri,aman,azru,l7afya,iz3rf,a8rar,3lil,38kar,3ji8,is3m
SENHAYI,AA,BERBER,50000,0,0,0,iwn,ZuZ,bna8m,aslm,ahar8an,0,0,0,0,dm,is,isk,amzux,8it,8inzar8,8ims8,ils,afu8,afus,abiS,8asa,su,zar,sl,m8,0,8afuS8,i8ri,aman,azru,8imsi,izrf,0,0,0,0,ism
SIWA_BERBER,AA,BERBER,20000,niS,S3k,3nCni,3ZZ3n,s3n,at3rras,tism3kt,agurzni,talS3t,tiss3Zr3t,tw3r7q3t,il3m,idamm3n,ix3s7,aCCaw,tam3z7z7uxt,tit7t,tanzart,asen,il3s,fud,fus,if3f,ca,su,z73r,s3l,0,us3d,tfukt,iri,aman,txux3t,t3msi,3mm3s7r3b,adrar,it7,Cur,atrar,ism
SIWI,AA,BERBER,20000,niS-n3S,S3k,nini,3j3n,s3n,0,0,agurz3ni,talS3t,0,0,il3m,idam3n,ix3s,aCao,tam3zuht,t3t,tanart,asayn,il3s,fud,fus,ifef,ca,su,z3r,s3l,imut,us,tfukt,iri,aman,txox3t,t3msi,0,adrar,it,Cur,atrar,0
TAMAHAQ_TAHAGGART,AA,BERBER,77000,nak,kay,nakaned,iyan,3ssin,awadam,asulmay,eydi,tilik,aSek,afraw,alam,ahni,axas,is3k,tamazuk,tet,ti5har,esen,il3s,afud,afus,efaf,awsa,3s3w,3n3y,3s3l,amat,as,tafuk,atri,aman,tahunt,tim3s,abaraqa,adrar,ahad,adkar,iynay,is3m
TAMAHAQ_TAHAGGART_2,AA,BERBER,77000,n3k,kay,n3kanid,y3n-iyan,3sin,y3n,asulm3y,eydi,tilik,aS3k,afraw,el3m,ahni,ex3s,is3k,tam3zuk,tit,a5giur,sin3n,il3s,afud,afus,idmar3n,awsa,3su,3ni,3s3l,3m3t,as,tafuk,atri,aman,ablal,temse,abar3qa,adrar,ehod,3tk3r,inay,is3m
TAMAJEQ_TAYART_AIR,AA,BERBER,250000,nak7,kay,n3k3ni,3yan,3Sin,awedan,kifi,iji,C3lek,eSek,af7r3nk3t,elam,ezni,exas,is3k7,tand73r3k,C3t7,C3nZaren,eSen,il3s,3fud,3fus,efaf,tas7a,3Swu,3n73y,3slu,am7at,as7u,t3f7uk,atr7i,am7an,t3wint,temse,tar7ayt,adxax,ehad7,3k3r,iynay,is3n
TAMASHEQ,AA,BERBER,500000,nak,kay,nakaned7,iyan,3sin,awad3m,eman,edi,tilik,emaxt,efarket,elam,aSni,exas,is3k,tam3z7uk,tet7,tinSar,esen,il3s,3fud,3fus,efaf,awsa,3su,3nh3y,3s3l,amat,as,t3fuk,at3r,aman,t3hunt,efew,abarij,ad7xax,3had7,3dk3r,iynay,is3m
TAMAZIGHT_CENTRAL_ATLAS_AYT_IZDEG,AA,BERBER,2490000,nek,0,nukni,yun,sin,bnad3m,asl3m,iydi,taxuyt,axlij,if3r,ab3tan,idam3n,ixs,iS,am3zux,tit,anzar,tuym3st,ils,afud,afus,if,tasa,su,ini,isil,m3t,adu,tafuyt,itri,aman,azru,afa,abrid,a7ari,id,3m3r,uZdid,is3m
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,AA,BERBER,2490000,n3k,S3g,nukni,yun,sin,b3na83m,asl3m,iy8i,8axuy8,axlij,8awriq8,ajlim,i8am3n,ixs7,iS,am3zux,8it7,8ijnzar,uxs,irs,afu8,afus,if,8asa,s3w,anay,s3l,m38,du,8afuS8,i8ri,aman,azr7u,l7afi8,abri8,Zb3l,i87,3m3r,uZ8i8,ism
TAMAZIGHT_CENTRAL_ATLAS_NTIFA,AA,BERBER,2490000,nki,kiy,nukni,yan,sin,0,aslm,aydi,tilit,SZrt,ifr,ilm,idamn,ixs,isk,amzux,tit7,inzr,tuxmst,ils,afud,afus,if,tasa,su,z7r,sl,mt,aSk,tafukt,itri,aman,azru,l7afit,abrid,adrar,id7,tkur,0,ism
TARIFIT_GUELAIA,AA,BERBER,1470000,n3S,S3k,n3Sin,iZ3n,8nay3n,bna83m,asr3m,aqzin,8iS3S8,s3Za8,8ifaS8,8irm3S8,i8am3n,ix3s,iS,am3Zun,8it7,8inza,8ixm3st,ir3s,fu8,fus,ib3S,8sa,su,wara,s3r,m38,as,8fuS8,i8ri,aman,az7ru,8im3si,abri8,a8ra,jir38,Sua,Z8i8,is3m
TARIFIT_BENI_IZNASSEN,AA,BERBER,1470000,n3C,S3k,n3Cin,ij3n,8nayen,bna83m,asl3m,ay8i,8iSic8,SZ3r,af3r,il3m,i8am3n,ix3s,iS,8im3Z3t,8it,inz3r,8ixm3s8,il3s,fu8,fus,ab3biS,8sa,s3w,z3r,s3l,m38,as,8fuyc8,i8ri,aman,azru,8im3si,abri8,a8rar,lil38,3m3r,g8i8,is3m
TASHELHIT_IDA_USEMLAL,AA,BERBER,3896000,nk,ky,nkni,yan,sin,bnadm,aslm,aydi,tilkit,SZr7t,afraw,ilm,idamn,ixs,isk,amz7ux,tit7,tinxrt,axs,ils,afud,afus,tabubat,tasa,su,z7r,sfld,mt,aSk,tafukt,itri,aman,tagunt,l7afit,axaras,adrar,ad7,ktur,leZdid,ism
TETSERRET,AA,BERBER,640000,nik,kig,n3k3ni,iwan,3Sin,afagan,0,ed,t3l3k,aSar,0,ilem,3dam3n,3z7,3sk,t3m3t73d,t3d7,tinZar,okS,3lS,awf3d,of3S,3fu,taSa,eS3b,az73r,0,matat,0,tawf3k,atri,aman,0,efu,tabarat,awud,ayad7,oz73d,0,0
TUMZABT,AA,BERBER,150000,n3S,n3C,n3Snin,ig3n,s3n,bnad3m,3lhut,aydi,tilit,3s3jr3t,tifrit,ajlim,idam3n,ix3s,aSaw,tam3zuxt,tit7,tinz3rt,tixm3st,il3s,fud,fus,if,tsa,s3w,z73r,s3l,3m3t,as,tfuyt,itri,aman,adxa,tfawt,abrid,awrir,id7,Sar,aZdid,is3m
WARGLA,AA,BERBER,20000,0,0,0,ign,sn,0,lXut,aidi,0,0,0,aglim,idamn,is,aSaw,tamZit,tit,tinzrt,timst,ils,0,fus,if,tsa,sw,zr,sl,mt,as,tfit,itri,aman,adxax,timsi,abrid,agrgub,id,0,0,ism
ZENAGA,AA,BERBER,2700,n37k,k3k,n3kni,yu7n,S3nan,3g8inad3m,tS3ym378,i8i7,0,aSa7r,a7yah,3y3m,38aman,37s37,t3skah,tamazgud,tud,tin8ar3n,oks37,oCS37,37f38,av37S,av3f37,ta7Sah,aSbe7,z37r,3grih,amih,aS37,t37f3kt,a8ar37,aman,t37rg3t,378383n,tawr3s,0,i8,a8u8,aynah,0
ZENAGA_2,AA,BERBER,2700,nik,kuk,n3kni,yu7u-3yu7n,Sinan,min,sijman,idi,t3l3kt,aSa7r,t3jburuxd,3j3m,d3m3n,ici,t3sken,tamazgud,tud,tinZ3r3n,uks,3Csi,o7fu,afuS,gurgar3n,ta7Sa,3Sbi,zar,gera,3mi,Sed,t37fukt,ed3ri,aman-am3n,ti7rg3t,ozun,tir3s,3rg3m,id,tufurt,3n3n-3y3n,eS3m
BIRAYLE,AA,BIRAYLE,10,ka,jana,jotabati,atkalbano,lamano,yoba,kara,xask3,Camija,hona,haSi,darbu,0,miCa,gasani,wowa,afa,sina,itima,odabo,gibila,i7i7a,ama,busa,jojau,yobi,aSa,kutip,ka7e,axaCo,busa,Cahawa,Coho,0,akamirota-kiti,gara,Xuo,nicina,aba,miSa
ONGOTA,AA,BIRAYLE,10,kata,janta-jama,juta,kalbano,lama,0,kara,qaske,camica,XanCa,XaSi,darbo,SoXo,miCa,0,wowa,afa,sina,itima,Xadaba,gibila,i7a,ama,tira,Ca7aw,yob,haS,baq-tib,e,aXaCo,Xizge,Ca7awa,Ca7a,oXoni,kiti,kuttunko,0,0,0,meSa
AFADE,AA,BIU-MANDARA,5000,duaN,ure,mufag,dipan,wagasi,0,ke,geleu,0,wahaN,0,0,0,0,0,teme,Ce,care,tare,inti,golnecece,tede,made,0,0,0,gasoNo,0,alu,ce,selage,hame,0,hu,ftulo,kaw,fade,0,0,0
BACAMA_MULYEN,AA,BIU-MANDARA,150000,0,0,0,hido,buk,ndoh,hurifi,kuda,jaNara,kadi,jiba,Sira,zamo,eli,bomo,l3m3gi,ditigi,Cinegi,linigi,gEnagi,dugagi,0,watigi,uresoti,sa,nan,fa,muto,Si,foto,gumla,koti,fura,duo,tuvo,moh,vudo,0,niNielo-noNielo,lum3Nin
BACAMA,AA,BIU-MANDARA,150000,0,0,0,hido,ke,bara,vak3y,sak3y,kulato,kada,Zuba,sulari,zamEy,ulEy,bom3y,kak3y,dito,Sine,lino,Zime,dugEy,0,bupto,roSey,saba,n3n,kulo,duwEy,Siy,furEy,tikulEy,habiy,fara-nzofara,diyEy,tuf3y,mEy,tukoto,0,wElEy-suwElEy,kak3y
BANA,AA,BIU-MANDARA,23000,0,agha,0,0,bak3-bak,nd3,k3lip3,k3ri,kaLikidi,f3,Ldiya,h3ni,mimi,iL3,t3lim3,L3m3,m3c3-mc3,kS3n,Lini,ghani,Sini,d3v3,wa,0,sa,na,fa,m3ti,s3k3,v3Ti-muku,sas3rkw3,0,hakw3,ghw3,kwal,d3lagwa,kw3Li,gad3-paf3,y3w3n,L3n
BATA_MALABU,AA,BIU-MANDARA,152500,0,0,0,hido,b3k,neo,0,k3d3i,0,kadi,jibi,0,ulo,0,0,limo,diti,Cine,0,Simo,n3,siko,wati,0,0,0,0,0,0,fatir,0,m3iye,fara,0,tuve,m3i,vido,0,0,0
BATA_ZUMU,AA,BIU-MANDARA,152500,no,iyo,hino,hido,b3k,no,0,kida,0,kadi,guda,0,bizo,0,0,limo,din,Cino,nincu,gEna,magirSo,dabadaba-siko,wacu,0,0,0,0,0,0,foto,0,koti,fira,0,t3vo,mo,vido,0,0,0
BAZZA,AA,BIU-MANDARA,300000,0,0,0,paL3w,bogu,ndu-wndu,k3l3po,k3rE,jangare,fo,Ltibili,pta,mimi,giLu,t3l3mo,L3m3,co,Ci,L3n3w,ane,g3Sini,0,ga,wno,suxu-savo,niyo,f3du,wto,sko,viCi,LaLurga,yEmi,p3rE,uxu,kaka,xumo,v3li,0,mirifi,Lti
BOGA,AA,BIU-MANDARA,10000,0,0,0,3rta,C3p,nifa,tina,x3da7a,j3N3r,3ft3,sow37a,pom3,f3ra,ala,muxomta,Limata,x3nita,xireNa,Landa,xanSuna,wedi,0,bubi,manat3,Sada,nedi,Simi,meri,bedi,fara,x3n3ra7a,ama,x3ngiya,x3t3,bana,Solat3,fidikt3,0,yiwak3n,Lima
BUDUMA,AA,BIU-MANDARA,54800,ndou-dau-do,na-nem,domu-danai,kete,ki,0,ki,keli,hate-kari,wanai,kalu,fou-Turgu-konda,Ti,hai,kami,homu,yil,Tinai,henai,telam,a5i-noNgurom-NgorumNgorum,yumai,koyei-boge,hoxinde,hi,me,haNge-hamai,mate,u,ayi,hilogu,kamai,kau,au,debel-turbo,kau,kenum,0,bilin,hemu
BURA,AA,BIU-MANDARA,250000,0,0,0,naN,suda,mda,k3lfa,kila,jankar,mfa-ucum,Lali,k3s3m,mamSi,daxu,LiLi,Lim,nCa,kuCir,xir,kEgEr,buni,0,u7a,mira,yimi,wuta,ngata,takur,si,pri,s3silka,xula,0,u7u,laku,pEla,viri,0,bilin,Lim
CIBAK,AA,BIU-MANDARA,200000,0,0,0,t3N-patu,sudE,nda,kulfa,kiya,gak3l,fE7,Lali,kuci,maSi,daxi,t3mbulE,L3ma,n3sa,kuc3r,xir,kanar-ka5ar,bunai,0,u7a,midE,cu,wuti,ngati,ni,si,c3ci,camiya,yimi,paya,zu7u,uawalE,paya,v3ri,0,b3lin,L3ma
CINENI,AA,BIU-MANDARA,3000,0,0,0,pala,buwa,wuda,k3l3te,x3da,CaCa,wofa-wulana,m3sa-m3san,ozuwa,viZa,LaLa,d3rawa,Limiya,giya,x3t3ra,Lirda,iraxa,xunja,0,wuba,irva,xuboka,naxakena,Cinakena,amsaya,sax3na,faCiya,kaLaLa,yuwa,kura,kara,ula,xuba,videya,0,d3lana,d3xa
CUVOK,AA,BIU-MANDARA,5000,yE,ka,ana-anako,0,ECEw,0,klEf,0,tEn3dEy,0,g3mLak,mal,bEmEZ,LaLar,drEm,L3may,nEy,h3taN,LEN,0,gurmEC,ha,rav,m3da,masay,mawalay,mECney,0,mEdEkEy,pas,mEn,yam,kEkEN,g3da-kokow,CivEy,wudam,vad,man3ha,waya,mEZElEy
DABA,AA,BIU-MANDARA,25000,0,0,0,t3k3n,s3r3y,hidi,kilif,x3za,m3rguC,wideN,vedit,bokula,bibiZ,geng3r38,fal3m,8imi,h3ra,miCin,niN,g3na,mitikiSem,0,wa,ninap,su,lima,8imi,muC,ya,piC,g3m8a,yim,wure,ku,kat3f,gugun,vudu,0,yiwun,8imi
DGHWEDE,AA,BIU-MANDARA,30000,TiTe,kaTa,mure,teke-titke,miTe,0,klfe,gde,0,ufa,0,vage,gza7a,LaLa,0,L3me,ne,xtire,Lire,raxe,giZe,dava,0,0,xuta,naga,Tana,mTa,sawa-sawsage,fiTe,0,yiwe,kire,kara,8ule-ule,0,va8e,0,0,yaxa
FALI_BAGIRA,AA,BIU-MANDARA,25000,0,0,0,tan,buk,mun3n,xirfun,xud3n,j3nkarun,fun,zugud3n,xucu7un,id3n3n,i8un,m3p3n,8imin,jin,Sinin,8iNin,gEnan,idun,0,wan,far3n,si,Nun,fiNa,mti,mi5a-Zi,fitun,tikisun,ma7in,far3n,gun,t3v3n,far3n,k3di,0,karak3n,zuna7
FALI_GILI,AA,BIU-MANDARA,300000,0,0,0,kutin-taN,bak,ndu,kurpi,k3ri,ka8uk3di,5EbEki-Soxu,kLtifi,xutub-xutubu,mimi,iLu,t3lemu,L3mu,mcux,kSin,Ltini,xani,Sini,0,ga,mini,saxo,naki,favi,mti,suki,v3Ci,sasur3ku,yam,xaku,xo,kal,xaku,v3rdi,0,w3r73rna-sa73r73rna,L3n
FALI_KIRIYA,AA,BIU-MANDARA,300000,0,0,0,gutan-tan3y,buku7,mdu-wmdu,kurupu7,kuri,taNudi,fu7,Cikifu,tuwu,mimi,yiLu7,turumu7,L3mu,nCi,Sinu7,Le,Nanu7,kumenS3n,0,u7a,0,sa-saxu,nanu,fatu7,wNi,sku,v3Ci,sas3nuka,yam-yamu,piri,uxu,kal-kalu,xum,vule,0,rifu,L3m-L3mu
FALI_MUCHELLA,AA,BIU-MANDARA,25000,0,0,0,tEn-arm3,bek-buk,munu,xirfu,xuda,jaN3ra,fu,ba,xusu7u,idunu,i8u-i8un,mapa,8imu,gi,Sinu,8iNyi,gEna,idun-idu,0,w3n-wa,but3mixi,si,nuNa,fi,miki,Si-S,fitu,xurELiya,ma7i,fara-faran,gu-gun,tuvu,mun-mu,vudu,0,karaku,8imu
FUTU,AA,BIU-MANDARA,300000,0,0,0,t3xuy,baxu-baku,mdi,kulupu,kure,wcunumci,fu,Ltik3v3ri,pta,mime,iLa,turmu,L3mu,nsi,nCi,Lunu,x3ni,x3Sini,0,go7,wni-mni,saxo,nEgi,fatu,mto,sko,v3Ci,tac3rga,yEmi,p3re,xi,kagucu,p3re,vidi,0,k3rpa,Li
GAANDA_GABIN,AA,BIU-MANDARA,43000,0,0,0,h3rta,s3ri,nefe,yirfe,yide,j3N3r,kaLa,Se7e,b3rf3t3,fere,ele,mo7omda,Limata,wEnite,xaXaya,Lene,senute,wede,0,bibe,m3na73ta,si,ni,s3ki,m3ri,bik3di,f3rta,w3n3ra,yeme,dekini,w3t3,mana,gele,wita,0,yuw3t373n,Lime
GAANDA,AA,BIU-MANDARA,43000,0,0,0,arta,suri,nefa,yirfa,ida,CaNar,d3fta,Se7a,fiya,fera,ela,bo7umda,Limata,wenita,xureya,Lena,w3nSEnoto,weda,0,biba,m3n3ta,s3n,ani,Siki,3mEri,a,f3rta,w3n3ra,yema,w3na,w3ta,bana,dekina,wita,0,yiw3dan,Lima
GAVA,AA,BIU-MANDARA,55900,0,0,0,kek-kit3kula,mic-mica,wuda,kilifa,xuda,cica,ufa,Lima,vixa,v3Za,L3La,durawa,Lima,diya,xut3ra,Lida,ira,gica,0,wuba,8ica,a,nugacina,cunacina,mc3gana,saxa,f3ciya,k3838a,yiwa,kura-gila,kara,dula,xuba,vidiya,0,wuliw3na,daxa
GHYE,AA,BIU-MANDARA,300000,0,0,0,pa8E-tanE,bagE,mdi,kulubi,kure,wsurumsi,fE-wCi,Lug3y,pta-wta,mimiye-m3miye,gigE,turumE,L3me,ncE,nCi,L3nE,xanE,xuSini,0,ga,na,sEgi,nag3y,fatEy,mtE,sug3y,fuZi,c3curga,nEmE-5EmE,nare-p3re,uxi-xi,kica,p3re,fidi,0,0,LtE
GIDAR,AA,BIU-MANDARA,65700,n3,k3,m3,taka,sula,d3f,0,kra,0,manwaya-wulaNga,0,g3ba,0,leNleN,moho,l3ma,ara,miNkin,0,0,takpra,va,makra,0,3sa,ula,p3rm,ma,3za,paya,t3N,inkile,0,ofo,0,0,d3fd3,0,d3fda,iya
GLAVDA,AA,BIU-MANDARA,31300,0,0,0,pala-kika,buwa,uda,kilfa,xuga,CaCa,ufa,ximi,x3zuwa-x3luwa,avza,LaLa,durawa,ximiya-ximiyaxa,giya-giyaxa,xutura,L3rda,arexa,xunja,0,uba,ura,x3bu,nuxa,CiNa,mca,suxa,faCiya,ka8a8a,iwa,akura-gila,kara,dula,xa,zavuda,0,dala,daga
GUDE,AA,BIU-MANDARA,88000,0,0,0,tan,bray-bra,nda,xurfin,3da,juNara,uNfa,ba7,kuvu7un,idina,ila,mapa,limin,gin,Sin37,liNin,g3na,ida,0,wan,vurSin,Si,nEi,fi,Ni,Si,gad3gi-usura,t3kisa,ma7in,fara,gun,ruga,giNa,vuda-davuda,0,kuraki,l3ma
GUDU,AA,BIU-MANDARA,5000,0,0,0,j3N,bEk,m3nu,hirfi,hida,j3Nar,kadaSi7u,rwadu,fo,m3mSi,gire,njEb,Lim,di,Cin,lin,gana,udidi,0,waCi,wurSi,icim3sa,duba,lin,ru,mataSi,fo3tu,giLu,5a,momoci,du,tEvi,momo,v3it,0,kEsum,lim
HDI,AA,BIU-MANDARA,29000,yu,0,N3ni,tekw,his,0,k3lipi,k3ri,cici,fu,suhwa,huta,us,gucif,duli,s3m3N,iri,h3ciN,si7iN,ganik,karam,c3vu,u7a,m3nak,0,n3gay,0,m3tay,sawi,fitik,takwaca,imi,pala,0,0,gwa,gar3vidik,0,0,h3gu
HILDI,AA,BIU-MANDARA,135000,0,0,0,ZaNuw-tayu,m3Lu-s3dayu,ndu,kalfi,xa,jakar3w,wu,xali,CiCi,maSi,dixi,t3l3mu,ximi,li,Ciru,xiru,karu,wuni,0,u7a,mulu-mula,saxur,la,Na,t3w,Si,puCi,SaSilg3,yimi,cuka,u7u,lagu,maw,vu7i,0,mafil3Nu,L3mu
HOLMA,AA,BIU-MANDARA,-1,0,0,0,hidE,b3k,minE,0,yaNa,0,kadin,gudan,0,bizEn,0,0,kEkodEn,din,Cinin,lin,gEnan,magilSEn,dabadaban,unEc3,0,0,0,0,0,0,fEtEn,0,bEtin,kakin,0,tuvEn,matufokEn,na,0,0,0
