language,family,genus,pop,I,you,we,one,two,person,fish,dog,louse,tree,leaf,skin,blood,bone,horn,ear,eye,nose,tooth,tongue,knee,hand,breast,liver,drink,see,hear,die,come,sun,star,water,stone,fire,path,mountain,night,full,new,name
HUBA,AA,BIU-MANDARA,306000,0,0,0,ZaNu,mELu,ndu,kalfi,heya,jakar,wa,heli,Ci,maSi,dihi,tilim,himi,li,Cir,hir,kEr,uni,0,wa,mila,sa,la,Na,ati,Sil,p3Ci,sasilga,biti,haNu,hu7u,laku,ma7,vu7i,0,bilin,elEm
HWANA,AA,BIU-MANDARA,32000,0,0,0,tital,suxuri,nifa,t3na,wude,CaNar,d3fura,Se,pama,fara,ala,b3wNda-b3uNda,Limara,yiv3,xuriyENa,Lana,SEnewura,w3dira,0,be,m3nara,sa,nad3n,sukd3n,mur,bad3ba,fara,ufuluNara,ama,fEr3,wara,k3mana,wumd3,f3dira,0,wErin,L3m3
JIMI_CAMEROON,AA,BIU-MANDARA,3500,0,0,0,tEn,bik3,0,xirif3n-xrif3n,x3ddan,TaNjara,fun,ban,kuvu7un,idin3n,il3n,mapan,lim3n,jin,Sin3n,li53n,gonon,0,Cin,wan,0,si,niNgan,fi,mitE,Se,fit3n,0,ma7in,0,gun,tav3n,0,v3d3n,0,0,lim3n-lZimE
JINA,AA,BIU-MANDARA,1500,na,k3-t3,ma,tya,Cu,mamala,h3lf3,hari,nasi,mafu,0,suva,nC3k3,asas3,0,s3m,iri,hiskini,sin,anis3,tagi,f3na,faw,0,sya,fina,s3ma,mara,0,avaCa,Caraki,ami,kaNkara,afa,darba,hin,l3vin,0,haraba,s3m
KAMALE,AA,BIU-MANDARA,300000,0,0,0,tanE-kutanE,bakE,wuni,kulupE,kurE,tENude,ufE,L3kE,xuta,mimi,i7E,turmE,L3m3y,nci,nSi,L3nE,xani,xaSinE,0,uga,munE,saku-sExu,nakE,fa,mtE,sE,v3Ci,s3surga,yEmi,purE,xi,xuka,xumE,vidi,0,kat3La,Li
KILBA,AA,BIU-MANDARA,306000,naya,naka,nam3n,ZaN,m3Lu,0,kalfi,x3ya,0,wa,0,Ci,maSi,8ixi,0,ximi,li,Cir,xir,Tar,udi,Ci,0,0,sa,la,Ngati,ta,Sili,p3Ci,0,biti,xaNgu,hu7u,laku,0,vu7i,0,0,L3m
LAGWAN,AA,BIU-MANDARA,10000,0,0,0,tu-bal,sa,0,ki7i,k3le,mas3,Xod3ga,maLXahe,za,Xi,aLe,kasu,Lim-Limi,s3,X3ni,Lini-Lan,ni,ni-ne,Lad3-kil,iwaye,Xanten,se,ga,L3na,mi,lo,s3,s3lk3-s3lk3n,am,Nkuni-Nkudu,fu,zalan-zevelo,Nkuni-Nkudu,vade,0,Xakien,Lemi
LAMANG_HITKALANCHI,AA,BIU-MANDARA,40000,iyo-i,0,naniya,0,0,0,0,kri,caca,ufu,baya-baya,xuta,ub3si,ghucifi,duli,s3m3N,ili,xcini,tl3diny,0,k3rmi,c3va-cevo,dig3n,0,0,ngh,s3n,mi,s,0,0,0,palaka,0,0,ghwa,vidi,0,0,z3ra-z3ri
MADA_CAMEROON,AA,BIU-MANDARA,17000,n,nokw,emne,ftek-efteka,sla,mbiyez-mbyez,klef,kra,etet,dde8,lme,ambal,emez,alal,dram,lme,ire,hndEr,alar,arra-3rra,hEdEdEm,ahal,gwva-mohrov-amo,Egwver,ese,eteN-epeN,eTeN,amat,awa-adara-odoro-amawa,fat,mawa8awa8a,yam,okkwar,okkwo,bartala,amwa-umwa,ar3vvad-ara,bembem,ewwe-iwwe,lme
MAFA,AA,BIU-MANDARA,214910,0,0,0,stad,Caw,nowa,klef,kid3,Nudukuday,wuf,vax,xuted,pomaC,vatax,drom,L3mad,di,x3can,LEnE,nEnE,disak,0,wa-uwa,m3nad,siy3,ark3,ac3n3,amcayi,Ski,pac,banay,iyam-yam,ka7,voga7,CivEd,ca,vad,0,ba7a,nL3mad
MAKARY_KOTOKO,AA,BIU-MANDARA,16000,u-don,g3-k3n,m,nte-pal-te,ansi-gasi,alg3,kio,k3lew,tas3,si,Simu,k3ri,ski,enSi,lagan,Simu,s3,hasan,San,enSi,golens3,Se,sobia,Sumbu,se,nd3-nte,Sin,ji,lu,s3,s3lg3,ame,kaw-mSo,fu,tolu,kaw-bidi,fade,k7waSi-per,mblin,Simu
MALGBE,AA,BIU-MANDARA,6000,duaN,g3N,mo,ente,ea,0,gi,gleo,0,hine,0,0,0,0,0,teme,el,skeN,tir,intir,0,tede,fne,0,uyi,N3,0,mad3,lu,se,yilg3,am,yara,u,0,0,fade,0,0,0
MARGI,AA,BIU-MANDARA,135000,0,0,0,taN-paLu,m3Lu-sidaN,mdu,kifi,xa,j3Nar,wu,iLali,mCi,mamCi,dixi,t3l3m,Limi,li,mCir,xir,k3r,wuni,0,u7a,m3l,a,wulEru,Nar,mtu,waz3gu,b3Ci,Sasilga,yimi-imi,ns3ka,u7u,lagu,Nu,vi7i,0,bilin,Lim
MBARA,AA,BIU-MANDARA,1000,mi,ki,mu,kitay-dow,mok,0,0,0,0,0,0,0,0,NgiL,0,Lumo,re,0,siN,naLay,muguri,se,0,tataday,si,0,Lini,midiN,0,futay,0,am,0,hu,0,0,0,0,0,0
MBUKO,AA,BIU-MANDARA,15000,na,ka,ma,k3rtek,Tew,do,zlaNar-k3lef,k3lfuro-k3la,t3k3Te,se,daslam,guta-zlay,mez,k3lakasl,b3t3btab-l3kam,sl3may,ide,Ten,slan,miresl,g3rmeT,alay,mbaT,mivel,sa,Ta,sl3ne,maT,nay-Na,paT,mawazlawazl,a7am,m3dire-kon,ruweT-uko,buwal,b3zlom,l3von,duN3roh,wiya,sl3may
MOFU_GUDUR,AA,BIU-MANDARA,90000,ya-yah,ka-kah,alakwa,pal,Cew,ndaw,awet,g3dey,tende,wudez,gwaLaf,ambal,mambaz,teteL,d3ram,L3may,dey,heter,Ler,73rne-d3rne,mereNgwes,har-hahar,dadak-rav,mevel,mesey,men3key,meC3ney-meC3ndey,mem3Cey,masawa,pas,wurLa,yam,aNgwa,awaw,C3ved,aNgwa,tavad,paf,mawuya-mam3lka,mez3ley
MOLOKO,AA,BIU-MANDARA,8500,na-n3,ka-k3,mo-mu,0,0,miZE,klEf-kilEf-k3lEf,kra-k3ra,CECE,CimCEm,0,hambar,pEmbEZ,0,mogom,l3may,alE-ElE,0,0,0,hrdidEm-h3rdidEm-hirdidEm,ahar,duwa,0,SE,miminZErE-mnzar-mnacar,CEn-CE,mat,dokay,fat,0,yam,vEr,ako,CivEd,b3rLaN,lvaN-l3vaN,r3h-rah,0,0
MSER,AA,BIU-MANDARA,500,0,0,0,0,0,0,kiy,kere,0,siyer,0,0,0,0,0,sim,saka,siN,sani,liza,msegi,si,felami,0,0,0,0,0,0,kasa,mawsa,ame,0,ahu,cafera,fena,waske,0,0,0
MUNJUK,AA,BIU-MANDARA,164400,ta-m3-Na,tuku-k3-ku,tumu-mu,day-daw-k3tay,sulu,dif,hilif,hirge,N3rsa,luwuN,sl3mani,am3r,fel,keslke,miyok,slime,aray,merfeN,sisiyen,ales-alsiy,kurnay,tiy,d3d3k,asleslet,si-sa,sidi-s3da-tili-tala,slini-sl3na,miri-m3ra,hilisi-halasi,f3tiy,mezlek,yem,0,afu,f3tiy,huwuN,d3v3k,vi-va,hehe-hahay,yiki
MUSGU_B,AA,BIU-MANDARA,164400,mu-ma,ki,0,kate,Cilo,dip,helif,kirgigi,0,luwuN,0,0,0,0,0,Simme,arai,hanCiN,susin,alXi,were,ta,tiddega,0,Canga-Ce,slaNa,sena,0,allusi,feti,baNgai,jem-yem,0,afu,futi,funi,defo,0,0,0
MUSGU_D_PLUS_RD,AA,BIU-MANDARA,164400,0,ki,0,daya-dega-dai,colo-hudyu,adif-populo,tum-helif-tede,hirge-ira,0,alwoN-luN,0,0,0,0,omok,sumo-samagu,are-arai,miXutina-marpugu-merfin,SiNSiN-sisiN,nisugu,0,tiriNta-feruNu,anum-belhe-dedega-hegu,0,resa-yamu,0,0,miri,gizi,gufti-feti-fasa,baNge-trgageia,yem-yumu,alifuni,afo-aku,futi,heidi,dufo-ndufuk-nufur,avu,0,0
MUSGU_K,AA,BIU-MANDARA,164400,tanu-mutan-m,ku-ka-ki-gi-ge-tukunu-kutukunu,ti-titi-mi-miti,kedai-ketai,silu,dif,helif,herge-hergenaus,dagadarai,luN-lu3N,kokoX,amir-amr,fel,keXke,moho-tatakalu,Xime,arai,merfen,SeSieN,elesi-alesi,0,ti-tuku,anem,0,sa,sedaN-zetaN-setaN-zedaN,Xena-lgie,mara,kasa-gaza-ga-halasi,feti-futi,meXen-meXeXen,yem,kiri-kirid-krid,afu,fiti,huN-hu3N,dufog,0,hehe,aika
MUSGU_O,AA,BIU-MANDARA,164400,mu-ma,0,0,kete,tSulo,wus,hilif,hirge,0,luN,0,suksa,fel,kiske,0,simme,arai,Cunge,SiN,alasi,0,ta,didiga,0,sando,0,0,0,gsa-alasi,0,daNgai,yem,0,afu,fitti,fune,difir,0,0,0
MUSGU_R,AA,BIU-MANDARA,164400,ta-matta-m-me-mi-mo,kuttugu,0,dai,solu,dif-adif-us,helf,hergige-herge,taktare,lun,sugai,amur-sugugudaCini,fil,0,amiau,timma-timku,areku,anCuneku,sinsiNku-SeSieN,ilisku-aliS-alesi,NguNgore,urniteni-ti,dedduku,etteltel,0,0,0,mre,halaSi,futi-grftila,mediN-baNgai,iym,funni,afu,taftida-amamagalla,fukni,diffuk-diffu,afalai,anagobina,0
MUYANG,AA,BIU-MANDARA,30000,0,nak,lele,biliN,Cu,0,kilif,kra-k3ra,0,0,0,amb3l,mimiZ,0,EdrEm,Limi,eri,0,0,0,0,axar,duwa,0,miSi,0,0,mt,ra,fat,0,yam,0,ako,0,x3ma,0,0,0,Limi
NGGWAHYI,AA,BIU-MANDARA,2000,0,0,0,t3N,sida,na,kulfu,kuya,j3N3r,fa,Lara,k3s3m,maSi,d3hi,t3mb3l,Lim,ca,kiCir,hir,k3ngEr,w3Ni,0,u7a,mida,jisa,wuta,ng3ta,k3ni,si,Ci,t3miya,yimi,p3ya,u7u,laku,p3ya,viri,0,birin,Lim
NKAFA,AA,BIU-MANDARA,300000,0,0,0,paLE-kute,bage,mdi,k3l3pE,k3rE,curumsi,fE,Ltib3ri,pta,mimi,giLE,tur3mi,L3mE,ncE,nSi-nCi,LinE,hane,Sini,0,ga,mnE,sExi,nata,fatE,mtE,sk3y,v3Ci,sEsurge,yEmi,purE,xi,xunka,mE,vurE,0,m3r3fi,Li
NZANYI,AA,BIU-MANDARA,86000,0,0,0,hide,buk,m3dE,wurfi,y3Na-y3Nba,j3nk3ri,fo,g3s3,kuvo,biz3,kurobE,bomi,lek3di,di,CinE,line,gEna,mag3rSE,0,unECi,hureseCi,huCuN,nah3n-mnah3n,mfa,mute,h3Ci,f3te,g3mleki,mi7i,ko7o,duwu,ruga,kuromo,v3de,0,sekurokuro,lekudi
PODOKO,AA,BIU-MANDARA,30000,ya,ka,ma,diya-taNa,s3ra,m3nda-nene,k3l3fe,k3da,C3Ce,nafa,zl3baha,g3c3wa-dala,muza,slasla,d3rawa,sl3ma,de,f3t3ra,slira-humb3ta,r3d3da,0,hara,war3va-zuva-b3b3de,mb3dala,sa,dasl3-naka,c3na,m3Ce-r3wa,Ce-mber3Ce,waday3ya-paca,0,y3wa,kura,kara,t3ve,caN3,v3da,m3n3k3ka,biwa,bawi
PROTO_BIU-MANDARA,AA,BIU-MANDARA,-2,0,0,0,0,s3x3r,m3d3w,k3r3f,k3ra,0,xaf,L3max,x3ta,xamaz,g3La,d3ram,L3may,ce-d3ray,x3c3n,L3din,xanax,0,ci-c3vu,d3wax,0,s,nax,0,m3t,s,x3pac,0,yam,0,daka,t3vi,0,x3vad,0,0,L3may-z3r
PSIKYE,AA,BIU-MANDARA,52500,Ta,na,bumu-gebumu,kw3tEN,bak,wunu,kelepe,klEketi,0,wufe,0,xeta,0,0,0,0,nSi,0,tene,0,0,deve,0,0,0,tenewe,fa,me,se,0,sasurga,yEmu,pelE,gwu,0,0,xE-vidi,vidi,mEnEfE,0
PUTAI,AA,BIU-MANDARA,50,0,0,0,duku-t3N,suda-f3dE,mda-mdE,kulfa,kiya,j3N3r-j3nk3r,fE-3mEku,Lali-Lari,kuCi-kuCE,muNZi-muyi,daxi-d3gSi,t3m3l-tum3l,L3m,nja-njE,pC3r-mCir,S3r-Sir,ku5adu-t35a,wuni-k3rigE,0,wa-uwa,mida-mid3g3,sa,wula-j3wre,N3di-Nadi,mtE-mta,si,b3ji,Camiya-C3miya,yimi,jiga-peya7imi,a7u,laku-l3ku,paga-p3ya,anvu7i-3Nvi7i,0,bilin-b3rin,L3m-Lim3g3
SHARWA,AA,BIU-MANDARA,5100,0,0,0,ruma7,soru7,0,korefe,hadda,Tankara,fog3,ba,bog3re,Edene,Ele,pine,lZime,dE,Cine,ile,gana,0,CivE,waka,0,sa,duban,fa,m3t3,Si,fEtE,0,ma7ye,0,kukE,tuve,0,v3d3k3,0,0,lZime
SUKUR,AA,BIU-MANDARA,14800,0,0,0,kili,bak,mu,0,kira,0,Siku,dui,0,mumus,0,0,lim3i,is,Sin,0,ganai,kirim,xut,wa,0,0,0,0,0,0,pis,0,yiam,iyim,0,Cive,Na,v3t,0,0,0
TERA_PIDLIMDI,AA,BIU-MANDARA,101000,0,0,0,3rd3,rap,n3fu,hirivi,ida,j3N3rti,g3fa,low3s,k3zimdi,v3r,g3L,domdi,8imdi,idi,h3dandi,8ini,heyEni,kurguL,0,bibi,m3nam3na,za,na,tiki,m3di,ba,f3da,Sir3ni,jim,nokti,w3ti,murvi,8eNni,viditi,0,miwak3di,lim
TERA,AA,BIU-MANDARA,101000,Na,to,tem-temi,da,rap,0,yurvu,yi8a,0,g3fa,0,k3z3m,tom,g3L,0,L3m,yiti,x3n,Lin,xena,purum-xuLukti,xar,0,0,za,na,t3ki,m38i,ba,f38a,0,Tim,nogu,bay,n3va,0,vi8ki,0,0,L3m
TSUVAN,AA,BIU-MANDARA,2300,0,0,0,n3m3n,h3la,0,wulfE7,hodda,TaNkara,fEgE,aba,buglE,3ddenE,ilZE,apinE7,lZimE7,adinE,amiCinE,lZine,agana,0,CuvE,wak3n,0,sa7,man3n,lZuman3n,za,Sin,fEtE7,0,agyE7,0,gulkE,t3vE,0,v3dE,0,0,lZimE
VAME,AA,BIU-MANDARA,8500,3N,k3,ma,bile,cew,du,kucedek,k3la,0,m3man,0,ambar-amb3r,0,0,guNgunak,0,aray,0,slahan,0,0,alay,digindigin,0,sa-sika,ca,s3n,m3c,nay,apas,0,ahwam,titileN,akwa,ciba,0,luv3d,0,0,sl3may
VEMGO_MABAS,AA,BIU-MANDARA,11000,0,0,0,0,0,wundu,0,kirE,0,ucu,Lwa,0,uus-ubis,0,0,Limin,iri,xcin,Liin-Lidin,nExEk,karim,papa,wuXwa-wuXba,0,0,0,0,0,0,fit3k-fiti,0,imi,palak,0,jivi,xwa,irvid3k,0,0,0
WAMDIU,AA,BIU-MANDARA,135000,0,0,0,z3mu-t3Nu,m3Lu,n3w,kalfi,xa,j3Nar,wu,xEli,ci,maSi,dixi,t3l3m,ximi,li,c3r,xir,kEru,wuni,0,u7a,m3la,sa,c3miya,Nari,t3w,an3w,p3Ci,SaSilga,imi,cuka,u7u,lagu,m3w,vu7i,0,maf3l3Nu,L3mo
WANDALA,AA,BIU-MANDARA,43500,0,0,0,p3le,buwa-muwa,ura,kulfe,k3re,CaCa,n3fa,g35e,goga,uwZe,xExe,durma,xima,iCe,uktari,Lare,nara,ugje,0,uba,mokfokfa,So,n3na-an3na,Cin3nCina,mc3mca,s3msa,v3Ciya,turxEka,yewe,ugc3,kara,uNule,n3ka,v3giya-vo7iya,0,d3wale,Zire
WUZLAM,AA,BIU-MANDARA,10500,nay,nak,alem,0,ciyo,asla,k3lif,k3ra,cece,ginaN,sl3minaN,amb3l,amiz,aslasl,amb3kam,sl3may,aray,0,aslar,maro,d3d3m,ahar,gulo,kuv3r,0,daray,cineN,m3t,wara,fat,m3rzla,yam,akwar,aku,meltivi,wudo,wulam,peslesliya,awehe,0
ZIZILIVAKAN,AA,BIU-MANDARA,6200,0,0,0,lim,sul,mdi,xurfu,xud3,tini,fuwi,baN,xuCuwi,mamzi,va,mEmu,83m3n,j3n,s35u-s3nu,8iNyu,g3na,idin-idi,0,gakun,kakur8iyin,se,xa,fe,mCi,Si,fiti,xuraLumuku,yimu,fala,guku,luga,mi,v3di,0,mafuraN3nug,83mu
ZULGO,AA,BIU-MANDARA,26000,ya,ka,kwa-akwa-ma-ama,0,sula,mburma,kilif,k3ra,atecic-masun,dizl,slambah,bagwa-kwiye,m3mb3z,atasl,cicikw-virisl,zl3m,are,hitir,zlir,arah,gwirmic,0,g3zl3N,kivir,sa-sl3ba,f3r-Ngat-Ngatar-p3r,0,m3t,dara,pat,mawusawus,wusa-yam,beliN-kur,akwa,barama,kwite,h3v3d,0,cwid,zl3m
AWNGI,AA,CENTRAL_CUSHITIC,489000,an-ani,3nt-3nti,3noji,3mp3l-laxu,laNa,aqi,asi,g3seN,yinti,kani,xaci,ay,b3ri,Nac,jenj,3nkoxi,3l,3san,3rki,caN,g3r3b,taf,ang,dolet,z3q,kant,3nkox-3nkax,k3r,ant-yint,0,bewa,axu,kar3N,leg,dad,kan,xar,wox,3skawi,s3m
AWNGI_2,AA,CENTRAL_CUSHITIC,489000,an,3n,3noji,laxu,laNa,ayi,asi,gseN,yini,kani,xuci,ay,b3ri,Nac,jen,3nkoxi,3l,3san,3rki,caN,gulvi,taf,ang,gubEt,z3q,kan,inkox,k3r,an,awa,bewa,axu,kar3N,leg,dad,kan,xar,0,3skawi,s3m
BILIN,AA,CENTRAL_CUSHITIC,120000,En-an,3nta,y3n,lax-lari,lENa,3xir,asa-Xasa,g3d3N,b3ta,kana,ESa,axa-XarEm,b3r,naS,gix,3nka,X3l,k3mba,3rk,lanki,g3rb,nan,3ngi,sanki,j37,kal,was,k3r,3ntEr,kara,S3ng3ra,Xak-ak,k3rNa,lExa,gug,gira,kir,3ntax,0,S3N
BILIN_2,AA,CENTRAL_CUSHITIC,120000,an,3ni,yin,lax,leNa,g3ra,Xasa,g3d3N,b3ta,kana,aSE,axa,b3r,naS,gix,3nkuwa,X3l,kuma,3nki,lanki,0,nan,g3t3b,gEduk,j37ux,qalox,wasox,k3rux,3nux,kara,Sing3ra,awko,k3r3Na,laxa,dErib,gira,keyir,0,Xadis,suN
KEMANT,AA,CENTRAL_CUSHITIC,1650,an,3nt3,andiw-aniw,laxa-lEy,liNa,ir-yir,asa,g3z3N,b3ta,zaf-kana,aSa,kErbEy,b3r,naS-NaS,gi,3nx3,y3l,x3mba,3rk3,lan3,g3rb3,nan,3ng3,sani,jax,xal,was,kid3z-fiw,t3y-t3w,kara,S3ng3ra,ax,k3rNa,wEz3N,gEra-gaz,d3ba-gEta,xir-xer,tax,azi,S3N
KEMANT_2,AA,CENTRAL_CUSHITIC,1650,an,inE,aneo,lawa,liNa,yir,asa,giziN,b3ta,kana,k3tEl,koreve,bir,at3n,kEn,uno,il,huma,3rku,m3las,g3r3b,nan,3ngu,gozgu,jaxow,nixana,wasox,kio,tEw,kwara,0,axo,kErna,w3zin,goro,tErara,xir,0,Sayax,sunN
PROTO_AGAW,AA,CENTRAL_CUSHITIC,-2,En-an,3nt-k3,3n,lax-la,lENa-laNa,0,asa,g3z3N-g3zEN,0,kan,xac,axa,b3r,Nac,0,3nq,3l,q3mb-3s3n,3rk,0,g3rb,0,3ng-ang,0,Z3q-Zaq,0,0,k3t,3nt,0,0,aq,k3rN-karN,lEx,0,0,qir-qar,0,0,0
XAMTANGA,AA,CENTRAL_CUSHITIC,213000,an-yan,k3t,y3n,lEwa-lay,liNa,3j3ra,Xaza,g3z3N,b3ta,zEf,Xasa,qErbi-qEbri,b3r,Nas,ji,qEr3z,3l,3s3N,3r3q,laq,g3rb,nan-nEn,3q,S3q,ziy,qal,wES,k3r,tEr,kEra,s3gl3wa,aq,q3rNa,liya,gidEna,aba,xar,Caq,ay3r,S3N
XAMTANGA_2,AA,CENTRAL_CUSHITIC,213000,an,k3t,yin,l3wa,liNa,3j3r,0,g3z3N,b3ta,zEf,xaca,kErb3r,b3r,ac3n,ji,q3r3z,3l,3s3N,3ruq,laq,g3r3b,nEn,3q,0,ziyu,qalu,woSu,q3ru,tEru,kara,c3golowa,aq,qar3Na-qarNa,liy-liyE,gidEna,aba,har,0,ayir,SuN
PROTO_CHADIC,AA,CHADIC,-2,0,0,0,0,s3r,m3tu,k3rfi,k3r,0,it,0,z3m,bar,TaSu,0,S3mi,id3,at3n,San,aLesi,g3fu,0,w3di,0,sa,na,0,m3t3,s3,fati,0,am,0,aku-aka,0,0,b3di,0,0,S3m
PROTO_CUSHITIC,AA,CUSHITIC,-2,ani,ant-int,an-in,lah-lih,Lama,0,0,0,int,xa-xa7,0,gayn-xah,0,miki-moT,xas,0,il,isN,iLk,anrab,gilb-gulb,0,ang-ung,0,ag,ark-hex,mkl,ya,imt,0,hazk-hizk,0,tlaxh,ek,lag,0,0,0,az,sim-sum
PROTO_EAST_CUSHITIC,AA,EAST_CUSHITIC,-2,an,at,in,0,lama,0,0,0,0,0,0,gog,0,mik,gas,0,il,sa5-si5,ilk,andab,gilb-gulb,0,ang,0,ag-ig,arg,deg-dog,0,imt,elin,hizk-huzk,0,0,0,0,gub,ham-him,0,0,0
DAHALO,AA,DAHALO,400,0,0,0,watuke,lima,Xajo,jaribo,naXete,0,0,Labu,gino,diga,miTLo,tumi,agaco,ila,sina,kalati-Xakake,Xena,gili,daba,None,0,ma7una,kekia7a,etina,na7ina-ca7ina,ro7ia,ado,NiNiliXa-NiliXa,ma7a,0,ega,0,mulimete,hima,0,0,0
DAHALO_2,AA,DAHALO,400,a5i,ata,5a5i,watuke,li,guho,malabe,naXete,itore,koro,Sabune,gino,diga,miCo,tumpo,agaZo,ila,sina,kalati,Xena,gili,dara,!one,mako,ma7aw,wah,etit,Za7,haX,ado,!ingilXe,ma7a,mawele,ega,le,mulima,hima,!ok,mia,sare
MAJI,AA,DIZOID,33900,inu,yetu,inu,koy,tag,yabu,w3rgici,kianu,CuZu,ini,ai,kut-kutu,yarm,usu,usum,ai,abu,sinu,aZu,yabil-yabilu,kolu,kuCu,tiamu,bou,bEy,s3,sis,Su,yE,CaZ-CaZi,biz-bizi,ai,nialu,alu,kudu,tumu,got,0,kaliz,sim-simu
NAO,AA,DIZOID,7190,na,ne,natoknu,isn,tagn,iab,aSa,kianu,CuCu,inus,ai,fatu,yErb,usus,uSa,hai-hais,apu,sinus,aCu,yalb,gumtu,kuCu-kuCus,tiam,bufu,wobkesk,semo,sisne,Subo,y3go,SaZ,SeCa-SeiCa,hai,nelu-5elu,tamu,burun,mai,gata,0,kanu,sum-sumu
SHEKO,AA,DIZOID,38900,nEta,yEta,nEta,koy,tag-tagi,yab,oro,kiyano-kiano,CuCu,inu,kara,baCi,y3r3m,usu,uSku,hayin-ay,ab,sint,aCo,Erib,kumu,kuCu,tamu,bo-bo,kiSe,sEge,sise,Sube,yEge,ciac,dErtn,hai-ai,Se7i,tamu,kokn,gera,gota,0,karin,s3ma
BAREIN,AA,EAST_CHADIC,4100,0,0,0,fani,sidi,0,busi,baNa,0,iti,0,0,0,0,0,0,0,0,zeNu,lisiNu,0,nidaNa,0,0,0,0,0,0,0,minyeri,lisi,ami,0,aka,0,0,doefeyi,0,0,0
BIDIYA,AA,EAST_CHADIC,14000,nora-no,kana-kina,nina,kedeN,sidi,geN,boso-bosi,usu,0,ito-sadara,tapara,toko,buski,kasko,gepino,dena,udiya,etena,seNo,lise,gepe,pese,pupa,sate,ad,apat-tal,dor,mat,as,pato,kalo,amay,damo,ako,ora,doma,ereN,wenenuk,0,seme
BIRGIT,AA,EAST_CHADIC,10400,0,0,0,kaydo,siri,Ta,biso,kaTaN,itati,abi,tafo,zama,bara,aso,gefo,uduNgi,udi,eteN,saNo,lisi,gifi,Tugo,fifo,okolo,sa,heli,doyi,mati,0,foto,kali,ami,dambi,aku,morfi,0,andaNe,0,0,osom
DANGALEAT,AA,EAST_CHADIC,60000,non,kin-kan,nir,raki,sEro,gemo,bosir,ka5a,0,eti,0,0,bar,0,0,dENin,ud,0,0,0,0,posiN,0,0,sE,tal,dor,dE,as,pat,kalo,amay,dami,ako,botol,kot,ano,0,Tadine,siN
GABRI,AA,EAST_CHADIC,34400,ma,0,0,pon,wo,0,kuye,geta,0,goto,0,0,0,0,0,madi,tudi,gandim,kandum,gantam,gebam,tojiman,duNom-kobim,0,0,0,himambata,0,goro,tua,keminti,kam,0,tuo,dobede,kedam,kri5aldin,0,0,0
KAJAKSE,AA,EAST_CHADIC,10000,inti,konte,ante,fine,siri,no,buNgosi,fuka,otodi,0,fiyayo,tauwo,obor,kunun,0,koimi,arin,atan,sin,lisi,gif,fuso,fafo,sati,suN,um,dugiye,mata,soka,fati,sisimi,ame,iwo,kowi,iri,uTumo,0,0,0,simi
KERA,AA,EAST_CHADIC,50500,ten,te,aN,m3na,basi,0,aska,koya,0,k3paN,kosn3,tir3-kuti,kor,k3sk3N,gaw,kosoN,d3r,nin3,k3s3N,k3s3l,g3g3r,kasi,gaw,salde,se,0,iski-3ski,me-bese,bi-tugi,C3wa,seska,kan,p3rki,Cewa,k3k3y,p3rki,hi,b3,kimiri,sam
MABIRE,AA,EAST_CHADIC,3,na,gimuke,0,ke,ser,0,bis,ka5,intat,gawi,tapi7,zam,bar,aso,gepo,uduNe,ida7,dam3l,sin,pEl,sari5il,poiyot,pay,0,al,taru,nagiE,mate,are,pat,kal,amba,0,oko,or,dam,andunkel,minan,torat,kilek
