language,family,genus,pop,I,you,we,one,two,person,fish,dog,louse,tree,leaf,skin,blood,bone,horn,ear,eye,nose,tooth,tongue,knee,hand,breast,liver,drink,see,hear,die,come,sun,star,water,stone,fire,path,mountain,night,full,new,name
MIGAMA,AA,EAST_CHADIC,20000,na-nata,kita-ki-kanta-kaN,ke-keta,kadyi,sera,gimu,busu,bangir-kan5a,itata-kakkuma,ettu,tappu,tukku,bara,assu,gapu,diyye,ide,itin,sanu,lit,gippi,pissi,gurgum,sate,aro,ello,dero-giyyo,mato,asaw,pato,kalu,ammi,dambu,okko,botol,damba,ando-andoN,uninta,0,seme
MOGUM,AA,EAST_CHADIC,7000,no,ke-kane,nine,kee,Se,0,biSo,kany,intato,eto,tapo,tok,bar,0,0,uduNe,ude,etento,saNo,leso,gifo,0,oyo,0,s,ser,doy,mat,0,foot,kalo,0,0,ok,0,0,0,0,0,0
MOKILKO,AA,EAST_CHADIC,12000,num,ke-kon,kine,so,sire,wede,puniso,gede,gerse,undumu,puttusu,golmodo,puzo,osse,opiso,kude,ersa,bundiso,sinta,7ilze,zibe,bey-beyga,giggire,sayyisa,sibe,wolle,olli,tinda-inda-bate-si7e,ette,pedo,mole,a7u,mokkolo-pangirsawa,uwwo,relike-urzi-erke,mokkolo-mokkolso,diddo,bo-bok,dala-dolo,suma
MUBI,AA,EAST_CHADIC,35300,ne,0,0,fini,sir,no,bogoso,fuga,idedi,aduwo,beriyo,jit,obor,kunonu,gebi,sumamu,irin,idanu,siNaNu,lisi,gip,foso,fabo,sat,suwa,om,jige,mat,suwak,fat,sisuwa,ame,wi,kewi,bodol,0,dedem,0,0,sami
SABA,AA,EAST_CHADIC,1340,0,0,0,p35,mu7u,0,bus,kuyu,b,s3oui,sa7a,roNo,sam7,3g3si7,k3pa,ondor,iri,demil,sene,son7,derkel,k3ta,payo,0,seye,e,neige,mite,oi,pido,s,umbo,durk,oko,aro,0,ba7,0,3r3m,sindir
SOKORO,AA,EAST_CHADIC,5000,na,Ca,onoN,k3ti-k3ri,moru,0,busi,kuyo,Nirsa,saune-cui,sayo,pana,sa,oseNi,g3bel,on,idim,dimol,senu,selinu,dergeldum,pitum,oidum,meildum,sa,0,neyo,mita,obtidi-obe,pio,0,mo,wita,oko,0,wita,badem,0,kiji,oso
SOMRAI,AA,EAST_CHADIC,7410,ini,inim,inige-anige-inidigan,mon,sir,0,gose,dogoro,gade,abde-habre,0,sumo,bare,gusiN,0,sumu,deram,sendum,sandam,0,0,usam,jurgum,0,se,yero,0,mare,0,doa-daua,disu,nimi,0,doa,0,0,mana,0,0,sumo
TUMAK,AA,EAST_CHADIC,25200,0,0,0,m3n,hE,gon,do,ga,ngirsa,aw,awh3ma,dar-hum,ba,guy,badubo,him,tuw3r,hun,hin,duj,gub,ge5,gaw,telu,he,ka,do,ma,o,dew,heru,nam,d3y,d3w,bom,0,mur3n,an,kam3n,him
UBI,AA,EAST_CHADIC,1100,nara-na,Cira-Ci,inani-ni,0,0,bo,buze,kuyu,judum,Cuwa,kabila,pi5a,sede,esa,gapa,oniya,iri,dumila,sina,sili5o,derNila,koya,oya,toziyo,sayin,nayin,niyin,0,ebin,pudiyo,timo,amo,durgu,ako,0,0,bogum,muna,erwa,semo
COPTIC,AA,EGYPTIAN-COPTIC,-1650,ang-anok,0,0,owa-ova,snav,rne,bore-leifi,uXor,kakte-Xlom,bo-krouni,bet-Sire,anom-Sab,snof,kas-qas,hob-tap,maSj-meSte,eier-eiat,Sa-jeb,naje-obe,las,pat-rmeie,Store-tertori,mnot-mestet,upaji,so-Cin,CoSt-eior,sotm,maut-mu,ejn-ern,re-Xei,siu,mou,ene-abrem,krom-sate,Xie-Xo,tou-tueie,uSe-Cor,0,mui-Sai,ran
LATE_EGYPTIAN,AA,EGYPTIAN-COPTIC,-2,ti-y,tek-te,ten-n,weXe,snewe,rame,rim,Cesem,0,Sun,kiXe-qiXe,anam,snaf,kis-qis,0,mesCeX,yire,fenet,abX,lis,0,tare,0,meuse,sa,pare-neu,satm,mau-maute,ewe-ete,riX,siwe,mau,ane,site,waye,tau,garX,maX,mmaye-maye,rin
MIDDLE_EGYPTIAN,AA,EGYPTIAN-COPTIC,-2,wy-ynk,Cw-ntk,n-ynn,wX,0,s-wXb,rm-gr,Csm-yw,ktt,nht,g7bt,ynm-ym,snf,qs-Xj,Xb,ydn-msjr,yrt,fnd-fnj,njXt-ybX,ns-snw,pd-p7j,jrt-j7t,mnd-mnj,myst-myzt,nwX-zwr,m77-dgy,sjm-Xj,mt-xpy,yy-w7y,rX,sb7-gnXt,mw-stf,ynr-Xr,xt-ns,wj7t-myt,jw-mn,grX-wx,mX,m7wy,rn
GEDEO,AA,HIGHLAND_EAST_CUSHITIC,975000,ani,ati,no7o,mite-meka,lame-laNa,mana,kultume-kurtume,walCo-warSa,ibe,haka,Safa,goga,munde,miCo,gafa,manSa,ile,sano,iso,arabo,gulubo,aNa,ununa,tiro,haw,ud,lak,re-rer,dag,ariSo,urje,wada7e,kinjo,gira,ora-ture,tarba-gara,haSa,woma,haro,suma
GEDEO_2,AA,HIGHLAND_EAST_CUSHITIC,975000,ane,ate,no7o,mite,lame,mano,kultume,wol,ibe,hak,Safa,goga,mune,miCo,gafa,mEnSa,ile,sEno,iso,arEbo,0,anga,ununa,tiTo,ha7i,ud,lEk,rey,am-amu,ariSo,urje,wEde7e,kin,gira,ora,koba,haSa,0,haroke,suma
HADIYYA,AA,HIGHLAND_EAST_CUSHITIC,1250000,ani,ati,nese,mato,lamo,manCo,kurtume7e,waSiCo,ibiba,haka,buya,omaCo,tiga,mike,budo,maCe,ile,sane,inke-iNke,alabo,gurubo,aNa,anuna,afare,ag,mo7-sid,maCes,leh-bayit,war,elinCo,bolanka-bolaNka,wo7o,kina,gira,gogo,duna,himo,woma,hareCo,suma
HADIYYA_2,AA,HIGHLAND_EAST_CUSHITIC,1250000,ane,ate,nese,mEto,lEmu,mEn,kurtume7e-kurtume7,wuS,ibiba,haka,buya,omEco,tiga,mike,budo,mECe,ile,sEne,inke,alEbo,gutub,anga,anuna,afEre,age,mo7e,mECese,lehe,ware,elin,bolank-bolanka,wo7o,kina,gira,gogo,duna,himo,0,hareC-hareCo,suma
KAMBAATA,AA,HIGHLAND_EAST_CUSHITIC,713000,ani,ati,na7oti,matu-meto,lamu-lamo,manCu,kortume,waSiCu,ibibe,haka,bonta,goga,kegu,mikiCu,buda,maCa,ili,sanu,inku-iNku,arabi,gulube-gulab,aNa,anuna,afali,ag,tud,maCoC,reh,wal-amet,are,bezeCu,wa7a-wi7a,kinu,gira,wuka-woka,duna,ankari-aNkari,wima-yima,haro,suma
KAMBAATA_2,AA,HIGHLAND_EAST_CUSHITIC,713000,an-ani,at-ati,na7o,mEto,lEmo,mEn,kurtum,wES,ibi,haka,bona,goga,kEgi,mik,buda,mEC,ilit-ilita,sEnuta,inkut-inkuta,arEbita,gulubita,ang,anuna,afElita,age,tud-tudi,mECoC,reh,wal-wali,arE,bEze,wu7a,kino,girEt-girEta,wokaha,duna,ankariya,0,haroha,suma
LIBIDO,AA,HIGHLAND_EAST_CUSHITIC,64400,ane,ate,nese,0,lEmu,mEn,kurtume7-kurtume7e,wus,ibiba,haka,buya,omECo,tiga,mike,budo,mECe,ile,sEne,inke,alEbo,gutub,ororE,anuna,afEre,age,mo7e,mECese,lehe,ware,elin,bolanka,wo7o,kina,gira,gogo,duna,himo,0,hareC-hareCo,suma
PROTO_HIGHLAND_EAST_CUSHITIC,AA,HIGHLAND_EAST_CUSHITIC,-2,ani,ati,na,mito,lamo,mana,kurtume,waSa,ibibe,haka,0,goga,tega,mike,buda,manCa,ile,sano,inko-iNko,arabo,gilube,aNa,anuna,afale,ag,0,maC,reh,dag-wal,are,beceko-bedeko,wa7a,kin,gira,dogo,duna,0,woma,haro,suma
SIDAMO,AA,HIGHLAND_EAST_CUSHITIC,2980000,ani,ati,ninke-niNke,mite,lame,manCo,kiltime-kultume,waSiCo,ibiCo,hake,daro,goga,munde,mikiCo,buda,maCa,ile,sano,hinko-hiNko,arabo-arawo,gulube-guluCo,aNa,ununa,afale,ag,la7,maCiS,re-lubam,dag,ariSo,bedako,wa-mada,kinCo-bolot,gira,dogo,garo-tulo,haSa,woma,haro,suma
SIDAMO_2,AA,HIGHLAND_EAST_CUSHITIC,2980000,ane,ati,niNe,mito,lame,mEn,kiltimi,wES,ibi,hak,hoga,goga,mune,mik,buda,mECa,ile,sano,hinko,arEbo,suli-suliCo,anga,ununa,afale,agi,la7,mECiSi,reo,amo,ari,bedae-bedahe,wa,kin,gira,dogo,ilala,haSa,0,haro,suma
AFAR,AA,LOWLAND_EAST_CUSHITIC,1806000,anu-3nu,atu-3tu,nanu-n3nu,inki-iNi,lamay-l3m3y,saXadatu-s3X3d3tu,kuluna-kulun3,kuta-kut3,inkaXE-iN3XE,hada-h3d3,ayufta-3yuft3,arab-3r3b,Xabal-X3b3l,lafa-l3f3,gasa-g3s3,ati-3ti,ini,san-s3n,modina-modin3,araba-3r3b3,gulub,gaba-g3b3,angu-3Nu,tiro,aXub-3Xub,abul-3bul,obiy,rab-r3b,EmEt,aro-3ro,Xutuk,lE,da-d3,gira-gir3,gita-git3,XalE-X3lE,bar-b3r,0,Xusba-Xusb3,migaXa-mig3X3
AFAR_2,AA,LOWLAND_EAST_CUSHITIC,1806000,anu,atu,nanu,ineki,namaya,sihadatu,kulun,kuta,inkaX,XaTa,ayuf,g3lbo,ab3la,l3fa,gase,ati,ini,s3na,modina,araba,0,g3ba,angu,tiro,oXobe,ubule,obe,r3be,emete,aro,Xutukta,le,Ta,gira,gita,Xale,b3ra,0,Xusiba,migaX
ARBORE,AA,LOWLAND_EAST_CUSHITIC,7210,yelo,0,inu,toko,lamada,modo,beka,kEr,ingira-iNira,koro,dedana,dulteda,dika,lef,0,nebi-nebih,ina,sono,ilka,inilake,0,laba,0,sede,ige,doy,Takasti-Takastiy,ziye,maye,awatera,uzukatera,biTe,kate,eg,gorda,el,arawa,0,haraya,meke7e
ARBORE_2,AA,LOWLAND_EAST_CUSHITIC,7210,yelo,gairta,inu,tokoTa,lamaTa,modo,beka,kair,ingira,koro,dedEna,dulteda,dika,lef,0,nebi-nebih,ina,sono,ilka,lEke,0,lEba,0,sEde,ige,doy,CakEstiy,ziye,maye,awa,uzuke-uzuke,biCe,kate,eg,gorda,El,arawa,0,haraya,mEke7e
BAISO,AA,LOWLAND_EAST_CUSHITIC,5480,3ni,3ti,nu,kou,l3m3,ib3do,kunumi,kErE,igiri,g3,b3l3lo,m3rk3,igi,lEfi,m3S3,nEbE,ili,konon3,ilko,irEbi,gilib,gEnE,n3si,todo,d3m,0,0,goy,mEt,3riti,b3r3T3,bEkE,E7Ebo,ElEn,r3,wod3mi,0,0,0,mEgE
BAISO_2,AA,LOWLAND_EAST_CUSHITIC,5480,ani,ati,no,ko7o,l3m3,ul,kunumi,kere,igiri,ga,balalo,goga,igi,lEfi,maSa,nEbe,il-ili,konona,ilko,irEbi,0,gEne,nasi,todo,Tam,din,0,g,met,ariti,baraja,bEke,e7ebo,elen,ra,wodami,0,0,0,mege
BOON,AA,LOWLAND_EAST_CUSHITIC,59,ani,adi,inagu-inaga,deri,lomi,deri-dugag,0,0,0,awas,0,huwad,Xasero,lXafil,0,maxali,ain,saneg,wafer,laxdan,0,ganad,dXarowa,tiro,Xido,aimei,maxalei,ruf,godis,iftin,0,lawo,tomala,ilah,0,0,humag,0,Xanisan,0
BORANA_OROMO,AA,LOWLAND_EAST_CUSHITIC,3949600,ani,ati,nu,toko-toxo,lama,nama,kurtumi7,sare7,inirani,muka-muxa,bala,goga7,diga,lafe7,gafa,gura,ila,funani,ilkani,araba,Tilba,harka,harma,tiru7,dug,arg,daga,du7,duf,adu7,urTi7,bisani,daga7,ibida,kara7,gara,halkani,0,hara,maka7
BORANA_OROMO_2,AA,LOWLAND_EAST_CUSHITIC,3949600,ana,ati,nu,toko,lam-lama,nama,kurtumi,sare,3n3ran,muk-muka,bala,goga-gogaa,Tig-Tiga,lafe,gafa,gura,ila,funani,3lkan-3lkani,arEba,j3lba,hark-harka,harma,t3ru,Tug-Tugi,lali,Tagay,du7i,kot-koti,adu,urji,bisan,Taka,3bid-3bida,kara,gara,halkan-halkani,0,hara,mEka
BURJI,AA,LOWLAND_EAST_CUSHITIC,70100,ani,aS-aSi,nanu,miCa-deki,lama-lam,lami-dira,kurtume-kurtumay,waCo-woSa,iba,haka,bakala-daga,goga,Ceji,miCa,buda,daga,ila,suna,irka,arab-araba,gilba,aNa,ununa,afala-tiro,dug-duw,ilal-aNul,akab,rey-bakat,inta-intay,hiniCo,tolinte-biziko,wa,daha-daga,jira,dawa,ura-deto,yedi,huma,harea-haraya,maka
BURJI_2,AA,LOWLAND_EAST_CUSHITIC,70100,e,Se,nins,miC,lam-lamu,lam-lame,kurtume,wuCo,iba,haka,mEn-mEna,goga,Cej,miC-miCa,buda,Tag-Taga,ilE,guna,ilka,arEb,gilba,ank,ununa,afEla,Tub-Tubi,ilal-ilali,akEb-akEbi,re,am,tabara,toline,wa,Taha,jir-jira,dawa,ura,yed-yedi,0,hareya,mEka
BUSSA,AA,LOWLAND_EAST_CUSHITIC,19700,ana,atE7E,inu7E,taka,lakE,nama,kurmuja,xuda,ikirida,gora,lapat-labahat,uwu,diga,lafta,kas,lapat-labahat,ilta,sina,ila,araba,kilpa,harka,amba,tira,uk,ak,dagay,tow,dEy,lata,0,haga,daga,abit,pana,udet,ponoda,0,awtita,maxa
BUSSA_2,AA,LOWLAND_EAST_CUSHITIC,19700,ana,ima,inu,Sok-Soko,tam-tamu,nama,mole,heraTe,sakECa,korayo,kobEro,kola,Tiga,mEkEte,kasa,kobEro,ilCa,sino,iliCa,iniriC-iniriCi,kilba,hark-harka,ampa,mayE,uke,hake,dakay,toy,Te7e,koso,hisko,piSe,Tahe,puto,pana,tara,Cukana,0,awSita,maxa
DAASANACH,AA,LOWLAND_EAST_CUSHITIC,60500,yu,kuni,5i5i,takaT,nama,mu,beT,Tir,izidi,Tor-gor,neti,lokodi,fas,lafiti,gas,neti,il,sono,kaTini,ere,kur,gil,ozu,Tira,Tik-gik,arg,mal,kuf,imez,azu,izini,bie,war,Tiete-giete,TieriT-gieriT,gumiti,Turi,0,kana,me
DAASANACH_2,AA,LOWLAND_EAST_CUSHITIC,60500,yu,kuni,Tina,taqaC,nama,ma8Et,bEC,Cir,izir,kur,nEte,tude,f3s,lafite,gaso,nEte,il,sono,qaCo,Ere,kur,gil,o8o,Cira,ik,argiyE,male,kufe,qayimi,azo,izine,biyE,war,giEte,geriC,war,Curi,0,kana,maya
EASTERN_OROMO,AA,LOWLAND_EAST_CUSHITIC,4530000,ana,at-ati,nuhi,tEk-tEka,lEma,nama,kurtumi,sare,3n3re7,muxa,bala,goga,Tiga,lEfe-lEfe7,gafa,gura,ija,fu5an,3lke,arEba,j3lb-j3lba,hark-harka,harma,t3ru,Tugi,lal-lali,Tagey,du7a,kotu,adu,urji7,biSan,TEga,ib3d-ib3da,kara,gara,halkan,0,harey-hareya,mEka
EASTERN_OROMO_2,AA,LOWLAND_EAST_CUSHITIC,4530000,ana-ani,ati,nu-nuy,toko,lama,nama,qurtumi,sare,injiran,muqa,bala,goga,diga,lafe,gafa,gura,ija,fu5an,ilkan,araba,jilba,harka,qoma,tiru,duga,arga,dagaya,du7a,dufa,adu,urji,bisan,daga,ibida-abida,kara,tulu,halkan,gutu,hara,maqa
EL_MOLO,AA,LOWLAND_EAST_CUSHITIC,8,0,0,0,toko7,rama7,utira7,pek,kEr,iNir,oro7,kui,uranE7,dik,rafa7,0,nEp,il,sono7,ilko7,ErEp,gum,up,Enum,0,ik,argE,tEkaitE,kufE,anaNEi,aotE7,uyu7,bETE7,El,ek,gor,ElE7,kisa7,0,burida,0
GAWWADA,AA,LOWLAND_EAST_CUSHITIC,68600,ano,ato,ina,tokko,lakka,qawXo,xara,xaro,isqaya,karko,misa,xabo,Caqta,maqqa,kattakko,qama,ixxa,sina,ilka,arrapko,kilpayo,Xargo,aduno,tira,uk,hi7,apaq,far,okay,Xallikko,huska,ana,ikako,xatta,sano,gupo,awna,hoqq,qawt,makako
GAWWADA_2,AA,LOWLAND_EAST_CUSHITIC,68600,ano,ato,ine,toko,lake,qoho,xare,haro,isqi,garko,axe,3lo,kekite,mEx3de,gase,qamte,yEx3te,sine,3lge,ErEbgo,kilbayo,harqo,adEngo,tiri,ugi,Siya,abaxi,fEri,ogayi,uqayE,h3ske,ani,awErko,xEte,unge,gEdo,awine,0,qoto,mogago
GIDOLE,AA,LOWLAND_EAST_CUSHITIC,49900,anto-antot,atE,ino,Soko,lakE,nam,kurtumEt,hEra,ikirEt,kor,labit,kol,dik,laft,kas,labit,ilt,sina,ilit,arap,kilp,hark,amb,Sira,uk,ak,dagay,tow,dEy,laS,0,hak,daga,abit,pana,wudEt,awad,0,awSit,mah
GIDOLE_2,AA,LOWLAND_EAST_CUSHITIC,49900,an-ana,at-ati,in-inu,Sok-Soko,lak-lake,nam-nama,kurtumEt,hEra,ikirEt,koraya,lapit-lapita,kol-kola,Tig-Tiga,laft-laftE,kas-kasa,lapit,ina,sina,ilit,araba,0,hark-harka,ampa,Sira,uki-uk,ak-aki,Tagay,toy,Te,lES-lESa,hiska,hak-haka,Taka,abit-abita,pana,wutEt,awETat,0,awSit,mah-maha
GOBEZE,AA,LOWLAND_EAST_CUSHITIC,68600,ano,aCo,ino,to7on,lEme,qawuh,xar,hEr,3sqi,kar,ax,Xila,Ceh,mEq,kas,qan,axa,s3n,3l3go,arEb,0,hEr,Edun,Cir,uk,hi7,qabaq,fEr,oka,uqayE,wEn,an,aru-awru,heC,unk,gub,aw3n,0,qotito,mEkah
KOMSO,AA,LOWLAND_EAST_CUSHITIC,242000,anti,ati,ino,taka,laki,nama,murkuja,kuda,ikirtEda,qora,haSa,koga,diga,lafta,kasa,nabahada,ilta,sina,ilkita,araba,kilpa,harka,ama,tira,ik,ak,dagay,tow,dEy,lEta,0,piSa,daga,abita,pora,iroda,halkEda,0,haraya,maxa
KOMSO_2,AA,LOWLAND_EAST_CUSHITIC,242000,ana,ke,ino,tak-taka,lak-laki,nama,murguj-murguja,kuta,3k3r,qora,haSa,kolata,Tig-Tiga,lafta,kas-kasa,naba,ilda,sona,3lg3ta,arab-araba,kilba,hark-harka,am-ama,t3ra,y3k,yak-ak,TEgay,t-te,T-Te,lEta,3ska,piSa,Taga,ab3ta,pora,irota,halget-halgeta,0,haray-haraya,max-maxa
MAAY,AA,LOWLAND_EAST_CUSHITIC,1500000,any,0,0,0,0,qof-lan-Saksi,malalay,ey,injir,ged,hambal-hanSy,gubul-qolof,dig,laf,gas,deg,il,san,ilik,abryn-af,jilib,galan,nas-horadky,ber,warabow-damow,aragow-firiyow,degow,amu8ow-dimy8ow,koyow,iry,hiddig,biyi-warabbiyow,Sid,dab,tubal,bur,hammin,buhy,usub,magy
MECHA_OROMO,AA,LOWLAND_EAST_CUSHITIC,8920000,ani,ati,nui,toko,lama,nam-nama,asa,sare,3n3ran,zafi,bala,goga,Tig-Tiga,lafe,gafa,gura,ija,fu5an,ilkan,arEba,j3lba,ark-harka,arma,t3ru,Tugi,lali,Tagey,du7i,kot-kotu,adu,urji,biSan,Taga,ibida,dEni,tulu,alkan,0,adisi,maka
MOGOGODO,AA,LOWLAND_EAST_CUSHITIC,50,koNo,agu,ege,wehet,Cei,iei-sei,siNiri,kehen,0,keded,0,keSi,sogo,muCo,opet,nibe,ila,nuxa,ini,erei,0,tegei,0,0,uxa,doyia,0,akehet,alehe,tezo,eso,anu,tebu,iku,dar,0,0,0,0,iSi
ORMA,AA,LOWLAND_EAST_CUSHITIC,66300,ani,ati,0,tokoCa,lama,nama,kurtumi,sare,injirani-hinjirani,muka,kola-omensa,goga,diga,lafeti-lafati,gafa,gura,ila,funani,ilkani,araba,jilba,harka-kote,harma,tiru,duga,darga,daga,dua-duta,dufa,adu,urji,bisani,dakaCa,ibida,dirbu,tuliCa-tulu,halkani-bulto,miyu-duda,haresa,maka-maka
PROTO_SAM,AA,LOWLAND_EAST_CUSHITIC,-2,ani-an,ati-at,ino,kow,lama,dad,0,0,iNir,geiz,bal,0,dig,laf,gaes,deg,il,0,0,0,gilib,ga7am,na7as,ber,ab,arg-arga,nagal,amut,0,0,0,biTe,0,dab,git,0,hiben,0,usub,maga7
RENDILLE,AA,LOWLAND_EAST_CUSHITIC,60000,3ni,3ti,ino,kou,lama,i5E5Et,b3X3g,k3r,inTir,gEy,x3d3X,m3xEl,dig,l3f,g3s,dogo,indo,s3n,ilko,Xarap,Tilip,f3ro,n3h3s,X3lEsi,d3m,gEr,d3g,mu-yumut,0,or3,b3k3l,biTE7,d3g3X,d3p,Tit,kur,ibEn,0,Xosup,m3g3X3
RENDILLE_2,AA,LOWLAND_EAST_CUSHITIC,60000,an-ani,ati,in-ino,kou,lama,mEjEl,yEl,kar,3n3r,gey,xadaX,maxEl,Tig,laf,gas,dogo,ino,s3n,ilko,har3b,j3l3b,faro,nahas,Xalesi,T3m,gEr,dag,yumu,kale,ora,bakal,biCe7,d3gaX,d3b,jit,kur,iben,0,Xosub-Xesub,m3g3Ca
SAHO,AA,LOWLAND_EAST_CUSHITIC,285800,anu-3nu,atu-3tu,nanu-n3nu,inki-iNi,lama-l3m3,insi,Xaza-X3z3,karE-k3rE,inqaX-inq3X,haLa-h3L3,daLa-d3L3,alo-3lo,bilo,lafa-l3f3,gaSa-g3S3,ati-3ti,inti,san-s3n,iko,anrab-3nr3b,gulub,gaba-g3b3,angu-3Nu,tirau-tir3u,Xab-X3b,bal-b3l,ab-3b,rab-r3b,maw-m3w,aro-3ro,Xotuk,lay-l3y,day-d3y,gira-gir3,araX-3r3X,koma-kom3,bar-b3r,0,uXusub,migaX-mig3X
SAHO_2,AA,LOWLAND_EAST_CUSHITIC,285800,anu,atu,nanu,inik,lama,labato,asa,kare,inqato,XaTa,TaTato,qarbat,bilu,lafa,gasa,oka,ini,san,iko,anrab,0,gaba,angu,tiraw,yo7ube,uble,obe,rabe,emete,aro,Xutukta,lay,Tato,gira,araX,koma,bar,0,usub,miga7
SOMALI,AA,LOWLAND_EAST_CUSHITIC,14560100,aniga,adigu-idinku,innagu-annagu,mid-kow,laba,qof,kalun,ey,injir,ged,Xalen,0,Tig,laf,ges,Teg,il,san,ilig,Xarab,jilib,gaXan,lab-nas,ber,ab-Tan,arag,maqal,Timo-baqti,iman,qaraX,Xidig,biyo,TagaX,dab,wado-wadiqo,bur,haben,buXsan-daf,Xusub,magaXa
SOMALI_2,AA,LOWLAND_EAST_CUSHITIC,14560100,ani,adiga,inaga,mid,laba,nin,kalun,ay,inir,ged,Xalen,jiT,Tig,laf,ges,Teg,il,san,ilig,Xarab,0,gaXan,naso,ber,Xab,arag,maqal,Timo,kaley,XaTed,Xidig,biyo,dagaX,dab,wado,bur,haben,0,Xusub,magaX
TSAMAI,AA,LOWLAND_EAST_CUSHITIC,18000,ano,ato,oge,doko,laki,kauku,Xare,karitu,kiske,gorko,hoZe,kabo,CEid3,mite,gasako,kone,oXiti,sine,ilge,arako-arauko,lutE,horko,ame,tire,ugi,ema,Gobo,bare,ugEi,kaliku,age,ane,gako,kate,zanu-zano,oZo,galabo,hoCi,gauditu,mako
TSAMAI_2,AA,LOWLAND_EAST_CUSHITIC,18000,anu,yE,ine,doko,lEki,qauko,hare,karo,uske,garko,haSe,0,Ceigdi,0,gasako,kane,axete,sinite,ilge,arako,gilibko,harko,aTuNu,lane,luzena-luZena,emena,0,fEr,ogoi,kaliko,xizge,ane,kE,kate,zano,aSo,0,0,0,mako
TUNNI,AA,LOWLAND_EAST_CUSHITIC,20000,ana,ada,unu,hal-kow,lama,0,maley,ey-eyo,isgir,ged-gedo,hambal-hilin,0,0,laf,ges,deg,il-ilo,san,ilig-ilko,arab-arabo,jilib,gana,nas,taraw,warab,agar,deg,dem3d,koy,fri,bakal,beh3-behe,Slid,deb,fefaf,bur,himlin,0,0,maga
